sample_id,split,modality,start_index,end_index,impact_score,is_top_k
16,attachment4,text,49,49,0.003801940707489848,False
16,attachment4,audio,0,6,0.014545312151312828,True
16,attachment4,audio,7,13,0.008480147458612919,False
16,attachment4,audio,14,20,0.008733470924198627,False
16,attachment4,audio,21,27,0.008819477632641792,True
16,attachment4,audio,28,34,0.008785432204604149,False
16,attachment4,audio,35,41,0.00878874957561493,True
16,attachment4,audio,42,48,0.008779395371675491,False
16,attachment4,audio,49,49,0.0016289247432723641,False
16,attachment4,vision,0,6,0.03076872043311596,True
16,attachment4,vision,7,13,0.025849420577287674,False
16,attachment4,vision,14,20,0.007560872472822666,True
16,attachment4,vision,21,27,0.00754887517541647,False
16,attachment4,vision,28,34,0.007623679935932159,False
16,attachment4,vision,35,41,0.007712438236922026,True
16,attachment4,vision,42,48,0.007640019059181213,False
16,attachment4,vision,49,49,0.001237519783899188,False
17,attachment4,text,0,6,0.021400704979896545,True
17,attachment4,text,7,13,0.034688279032707214,False
17,attachment4,text,14,20,0.042718857526779175,True
17,attachment4,text,21,27,0.02012680098414421,False
17,attachment4,text,28,34,0.020753251388669014,True
17,attachment4,text,35,41,0.009631220251321793,False
17,attachment4,text,42,48,0.011480744928121567,False
17,attachment4,text,49,49,0.0034860693849623203,False
17,attachment4,audio,0,6,0.019796891137957573,False
17,attachment4,audio,7,13,0.013700534589588642,False
17,attachment4,audio,14,20,0.022610515356063843,True
17,attachment4,audio,21,27,0.028434807434678078,False
17,attachment4,audio,28,34,0.04616405814886093,True
17,attachment4,audio,35,41,0.046054158359766006,False
17,attachment4,audio,42,48,0.04635441675782204,True
17,attachment4,audio,49,49,0.007030968554317951,False
17,attachment4,vision,0,6,0.02126941829919815,False
17,attachment4,vision,7,13,0.023672398179769516,True
17,attachment4,vision,14,20,0.010890939272940159,False
17,attachment4,vision,21,27,0.01502307690680027,True
17,attachment4,vision,28,34,0.015012414194643497,False
17,attachment4,vision,35,41,0.014874331653118134,False
17,attachment4,vision,42,48,0.015196168795228004,True
17,attachment4,vision,49,49,0.002230794867500663,False
18,attachment4,text,0,6,0.028206810355186462,True
18,attachment4,text,7,13,0.02033771574497223,False
18,attachment4,text,14,20,0.02806565910577774,False
18,attachment4,text,21,27,0.04936112463474274,True
18,attachment4,text,28,34,0.1560385376214981,False
18,attachment4,text,35,41,0.17369526624679565,True
18,attachment4,text,42,48,0.01706412062048912,False
18,attachment4,text,49,49,0.0015597051242366433,False
18,attachment4,audio,0,6,0.08325069397687912,True
18,attachment4,audio,7,13,0.0688084214925766,False
18,attachment4,audio,14,20,0.040136657655239105,False
18,attachment4,audio,21,27,0.046194061636924744,False
18,attachment4,audio,28,34,0.04787532985210419,True
18,attachment4,audio,35,41,0.08168792724609375,False
18,attachment4,audio,42,48,0.09342260658740997,True
18,attachment4,audio,49,49,0.01222747378051281,False
18,attachment4,vision,0,6,0.05807492882013321,False
18,attachment4,vision,7,13,0.06546708196401596,True
18,attachment4,vision,14,20,0.06031132489442825,False
18,attachment4,vision,21,27,0.032080069184303284,True
18,attachment4,vision,28,34,0.052231308072805405,False
18,attachment4,vision,35,41,0.0646221712231636,True
18,attachment4,vision,42,48,0.05944105610251427,False
18,attachment4,vision,49,49,0.002127006882801652,False
19,attachment4,text,0,6,0.09237365424633026,True
19,attachment4,text,7,13,0.030489562079310417,False
19,attachment4,text,14,20,0.0849481150507927,True
19,attachment4,text,21,27,0.00322208134457469,False
19,attachment4,text,28,34,0.02643168717622757,False
19,attachment4,text,35,41,0.10627064108848572,False
19,attachment4,text,42,48,0.1645233929157257,True
19,attachment4,text,49,49,0.03606700524687767,False
19,attachment4,audio,0,6,0.022608887404203415,False
19,attachment4,audio,7,13,0.03695188835263252,True
19,attachment4,audio,14,20,0.0266999714076519,False
19,attachment4,audio,21,27,0.0025202869437634945,False
19,attachment4,audio,28,34,0.028845103457570076,True
19,attachment4,audio,35,41,0.022247133776545525,False
19,attachment4,audio,42,48,0.022731373086571693,True
19,attachment4,audio,49,49,0.0013345970073714852,False
19,attachment4,vision,0,6,0.028735220432281494,True
